Order ID,Customer ID,Customer Name,Product,Category,Size,Location,Region,Total Sale,Quantity,Payment Method,Payment Confirmation,Date,Process Timestamp,Status,Customer Type,Order Source,Discount Applied,Discount Amount,Shipping Cost,Tax,Delivery Time (days),Employee Assigned,Warranty Period (days),Return Requested,Review Score,Feedback,Raw Materials Used,Raw Materials Cost (INR)
ORD1000,2479,Pooja,Clay Brick,Commercial,Medium,Chennai,South,52419,602,Card,Yes,2023-11-28,2023-11-28 15:32:00,In Progress,New,Website,Yes,3857,1925,7797,9,Agent B,135,Yes,5,Average,"Gravel, Water, Fly Ash, Sand",950
ORD1001,1263,Pooja,Refractory Brick,Residential,Large,Kolkata,East,58311,1008,Cash,Yes,2023-01-04,2023-01-04 02:52:00,Completed,Returning,App,Yes,2067,2386,5333,5,Agent A,79,No,5,Excellent,"Sand, Water, Admixture, Fly Ash",1490
ORD1002,6828,Vikram,Concrete Brick,Industrial,Large,Chennai,South,21148,1170,Online,No,2023-07-25,2023-07-25 02:38:00,In Progress,Returning,Phone,Yes,720,2357,1956,10,Agent A,329,Yes,5,Average,"Gravel, Admixture, Cement, Fly Ash",3610
ORD1003,8839,Arjun,Refractory Brick,Residential,Large,Mumbai,West,59241,1583,Online,Yes,2023-08-28,2023-08-28 05:31:00,In Progress,New,App,Yes,4453,1504,8783,3,Agent C,110,Yes,3,Average,"Gravel, Admixture, Water",700
ORD1004,2606,Pooja,Fly Ash Brick,Commercial,Medium,Bangalore,South,21220,1191,Card,Yes,2023-05-05,2023-05-05 18:32:00,In Progress,New,Phone,Yes,2309,1756,2227,5,Agent C,271,No,4,Good,"Sand, Fly Ash, Water, Gravel",1240
ORD1005,9416,Vikram,Clay Brick,Commercial,Small,Mumbai,West,26353,1725,Card,Yes,2023-09-10,2023-09-10 09:01:00,In Progress,Returning,App,No,0,1549,2003,3,Agent A,297,No,5,Excellent,"Admixture, Gravel",1400
ORD1006,1493,Karan,Refractory Brick,Industrial,Large,Delhi,North,24517,772,Online,No,2023-09-02,2023-09-02 16:55:00,In Progress,Returning,Website,Yes,3617,1625,1783,4,Agent C,227,Yes,3,Average,"Cement, Gravel, Sand",690
ORD1007,9450,Arjun,Clay Brick,Industrial,Large,Bangalore,South,47096,1208,Cash,Yes,2023-07-25,2023-07-25 01:06:00,In Progress,New,App,No,0,1848,5240,9,Agent A,135,No,3,Poor,"Gravel, Fly Ash, Sand",1220
ORD1008,9964,Arjun,Clay Brick,Residential,Medium,Kolkata,East,69677,849,Online,No,2023-07-29,2023-07-29 17:36:00,In Progress,New,App,Yes,1494,2530,9484,2,Agent D,169,No,5,Average,"Sand, Fly Ash, Gravel, Cement",1740
ORD1009,6064,Neha,Cement Brick,Commercial,Medium,Mumbai,West,53869,1040,Cash,Yes,2023-10-30,2023-10-30 22:09:00,Completed,New,Phone,No,0,1075,2991,10,Agent B,94,No,4,Excellent,"Admixture, Fly Ash, Gravel, Water",1450
ORD1010,9866,Karan,Fly Ash Brick,Commercial,Large,Mumbai,West,66590,1999,Online,Yes,2023-08-01,2023-08-01 23:03:00,Completed,Returning,Walk-in,Yes,1766,2942,6197,2,Agent B,338,No,5,Good,"Gravel, Water",120
ORD1011,1641,Pooja,Clay Brick,Commercial,Large,Bangalore,South,24393,1496,Online,Yes,2023-08-12,2023-08-12 23:36:00,Pending,Returning,Website,No,0,1864,1808,10,Agent D,190,No,4,Very Poor,"Gravel, Cement",780
ORD1012,9933,Sanjay,Concrete Brick,Commercial,Medium,Bangalore,South,19297,1338,Cash,Yes,2023-12-17,2023-12-17 04:30:00,In Progress,Returning,Walk-in,No,0,1852,1225,9,Agent D,38,Yes,1,Poor,"Fly Ash, Admixture, Gravel, Sand",2860
ORD1013,7375,Anita,Concrete Brick,Residential,Small,Delhi,North,51513,769,Online,No,2023-03-14,2023-03-14 21:25:00,Completed,New,Phone,Yes,149,866,2973,9,Agent D,315,No,1,Very Poor,"Cement, Gravel",430
ORD1014,9024,Vikram,Fly Ash Brick,Residential,Small,Delhi,North,60415,511,Cash,Yes,2023-11-26,2023-11-26 04:16:00,In Progress,New,App,No,0,1658,7946,8,Agent A,228,No,5,Excellent,"Sand, Fly Ash",440
ORD1015,2709,Karan,Concrete Brick,Residential,Small,Chennai,South,40554,1891,Cash,No,2023-11-06,2023-11-06 00:30:00,In Progress,New,App,No,0,1759,5008,8,Agent A,92,No,5,Average,"Cement, Fly Ash, Water, Sand",1050
ORD1016,3667,Vikram,Concrete Brick,Industrial,Small,Delhi,North,37308,769,Card,No,2023-06-12,2023-06-12 13:34:00,Pending,Returning,Walk-in,Yes,2000,2919,2019,3,Agent C,343,Yes,4,Good,"Gravel, Sand",520
